X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
2104002.27305406,742226.126632124,4003666,000D0B7A-3048-98E7-046FBA1DC52B6D55,SUBWAY #12460,706 W PEACE ST ,RALEIGH,NC,27605,35.78886217,-78.64931998,19198340605,
2096548.54353897,742469.460463047,4003667,00365192-A8F6-87E1-4D85FECDC569C6AB,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,RALEIGH,NC,27607,35.78960042,-78.67444996,19198326522,
2056905.15760282,680524.481662959,4003668,003B5816-EB2D-98FB-BB9A47422343117B,AVIATOR TASTING ROOM,209 TECHNOLOGY PARK  LN ,FUQUAY VARINA,NC,27526,35.61969914,-78.8085251,19195672337,
2064159.40982656,785060.947786465,4003669,0046D7E0-5056-A20B-FA728F89DE72F101,TAMARIND,8531-109 BRIER CREEK PKY ,RALEIGH,NC,27617,35.9068519,-78.78334835,19194063473,
2036281.89176281,731430.510100052,4003670,004B7CC3-9291-1A30-0887F2F9A7C9FEE5,Johnny's Pizza,1763 W Williams ST,APEX,NC,27523,35.75964659,-78.87770732,111111111111111,
2064159.40982656,785060.947786465,4003671,008A6B72-E823-5930-B24407ED48C781C8,ELEVATION BURGER,8301 BRIER CREEK  PKY ,RALEIGH,NC,27617,35.9068519,-78.78334835,19199992774,
2098659.89167848,722683.003644958,4003672,00BF7B62-5056-A20B-FADB5F6951EC30EC,THE 19TH HOLE,1527 TRYON RD ,RALEIGH,NC,27603,35.73522185,-78.66755423,19197729987,
2104481.71599281,775636.347213134,4003673,00CE5345-0311-776C-22695D158EEEA36E,LATIN QUARTERS,7335 SIX FORKS  RD ,RALEIGH,NC,27615,35.88064315,-78.64730313,19199008333,
2151304.89728065,746028.580969468,4003674,00D18CF6-A9E0-C802-4912244307982DE1,DUNKIN DONUTS/BASKIN ROBBINS #331785,7137 KNIGHTDALE BLVD ,KNIGHTDALE,NC,27545,35.798745,-78.48975911,19192179603,
2095287.28096965,740601.448122963,4003675,00FC2D97-FE0A-549D-150427A6BFD57253,CLARK DINING HALL,221 JENSEN  DR ,RALEIGH,NC,27695,35.78447976,-78.67872314,19195134680,
2095287.28096965,740601.448122963,4003676,00FF7E07-D5C4-3000-995FAB448FED097D,McKimmon Corner Cafe,1101 GORMAN ST ,RALEIGH,NC,27695,35.78447976,-78.67872314,19195158259,
2124770.91294715,745942.614605963,4003677,0101A22A-D384-15BD-CA44676FD691DEA0,Pizza Hut # 1101,3691 NEW BERN  AVE ,RALEIGH,NC,27610,35.79885066,-78.5792389,19199008096,
