OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
39073436,75BFDC7E-E8CC-3490-B868DAE86D0DE58C,100,2012/10/24 00:00:00+00,,routine
39073437,011A703F-D8CE-C53D-62B3073DF4809ED4,100,2012/10/25 00:00:00+00,,routine
39073438,336355FE-0EBF-2BD9-89C16910AA2049DC,100,2012/10/30 00:00:00+00,,routine
39073439,500941,100,2012/11/06 00:00:00+00,,routine
39073440,23D6E1F8-DFC2-9B9C-55422A411A405AF7,100,2012/11/09 00:00:00+00,,routine
39073441,D804EFCA-5C21-C187-DF5E692B11ACBB89,100,2012/11/27 00:00:00+00,,routine
39073442,273DB447-C86B-AA84-1B080AA333406F5D,100,2012/11/29 00:00:00+00,,routine
39073443,7C9D87E6-3048-9838-FCD19193BA4A57AB,100,2012/11/29 00:00:00+00,,routine
39073444,899EBB8A-A096-0E13-14A120299C9C87F1,100,2012/12/03 00:00:00+00,,routine
39073445,A745B361-DC2C-1BB6-B05148AC9C86D656,100,2012/12/17 00:00:00+00,,routine
39073446,8334C411-15A0-1497-9928AA005B3081EC,100,2012/12/21 00:00:00+00,,routine
39073447,D61C7A82-D602-1442-8732136A791D4881,100,2012/12/21 00:00:00+00,,routine
39073448,92E05BFE-BF2A-61AD-FE3B51C1D0D02A9B,100,2012/12/31 00:00:00+00,,routine
39073449,6584C5A9-9786-3CEE-206905DA6B5C268E,100,2013/01/04 00:00:00+00,,routine
39073450,AE738462-E648-427C-1B3797843EB8682B,100,2013/01/10 00:00:00+00,,routine
39073451,B58890C3-0C88-594A-267787C060E0791A,100,2013/01/10 00:00:00+00,,routine
39073452,09C7AEAE-E078-149F-E8394F82D33BE4FC,100,2013/01/15 00:00:00+00,,routine
39073453,C0988CE6-9161-6366-98A6433D8793971A,100,2013/01/15 00:00:00+00,,routine
39073454,498237,100,2013/01/23 00:00:00+00,,routine
39073455,F23D2E6D-161D-C3B6-667452B9720DE87B,100,2013/01/25 00:00:00+00,,routine
39073456,501118,100,2013/01/28 00:00:00+00,,routine
39073457,655D882B-BA09-34CD-22959FF0F746A8EF,100,2013/04/12 00:00:00+00,,routine
39073458,7CEBE9B3-1422-201B-19230D9C2A35046B,100,2013/04/12 00:00:00+00,,routine
39073459,1D0424B9-3048-983B-26BBAD475BC1C6F6,100,2013/04/15 00:00:00+00,,routine
39073460,0F37B006-D4E2-7054-55DA2C161E83A4F1,100,2013/04/16 00:00:00+00,,routine
39073461,8D71C1CC-C592-2A12-C5337491D090F761,100,2013/04/16 00:00:00+00,,routine
39073462,BCF6B620-00AE-23A3-59FA133E3264B3DA,100,2013/04/18 00:00:00+00,,routine
39073463,FC6BAD5A-9117-0FA0-0DA9EA96A156E1B0,100,2013/04/19 00:00:00+00,,routine
39073464,5DCA9475-15D1-158B-12D1136DE7725139,100,2013/04/30 00:00:00+00,,routine
39073465,B691B1AE-3048-983B-2647A091CB4DA7BB,100,2013/05/01 00:00:00+00,,routine
39073466,11C40812-1060-9D6F-AE04129347F2A7D2,100,2013/05/03 00:00:00+00,,routine
39073467,497756,100,2013/05/08 00:00:00+00,,routine
39073468,500941,100,2013/05/13 00:00:00+00,,routine
39073469,7A22E62E-DF2F-0B92-FF87E19A9FA02FA9,100,2013/05/17 00:00:00+00,,routine
