program,fund_type,funding_year,funding_request_number,frn_line_number,status,filing_hcp,filing_hcp_name,filing_hcp_entity_type,filing_hcp_street,filing_hcp_city,filing_hcp_state,filing_hcp_zip_code,filing_hcp_latitude,filing_hcp_longitude,participating_hcp,participating_hcp_name,participating_hcp_entity_type,participating_hcp_street,participating_hcp_city,participating_hcp_state,participating_hcp_county,participating_hcp_zip_code,participating_hcp_latitude,participating_hcp_longitude,category_of_expense,service_type,download_speed,upload_speed,number_of_bidders,frequency_of_expense,multi_year_funding,funding_start_date,funding_end_date,funding_commitment_date,funding_submission_date,service_provider_id,service_provider_name,filing_window,original_requested_amount,original_committed_amount,total_commited_amount,total_authorized_disbursement_amount,service_level_agreement,invoice_deadline_date,filing_hcp_county,bandwidth,monthly_urban_rate,monthly_rural_rate,packet_loss,reliability,jitter,latency,eligible_service,eligible_site,quantity_of_item_invoiced,prorata_factor
Healthcare Connect Fund,Consortium,2022,RHC20220006538,6,Processed,45431,Health Quest,Consortium Of The Above,21 Fox Street,Poughkeepsie,NY,12601,41.6901611,-73.9334779,45423,Data Center - 21 Fox,Not Available,21 Fox Street,Poughkeepsie,NY,Dutchess,12601,41.6901611,-73.9334779,Data,Ethernet,10 Gbps,10 Gbps,0,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-12-01T00:00:00.000,2022-02-18T00:00:00.000,143005274,Crown Castle Fiber LLC,FY 2022 Filing Window 1,12480,12480,12480,12480,No,2023-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13399211,1,Committed,15183,"Allegany Rehabilitation Associates, Inc.",Community Mental Health Center,4222 Bolivar Rd,Wellsville,NY,14895,42.1264235,-77.9700056,15183,"Allegany Rehabilitation Associates, Inc.",Community Mental Health Center,4222 Bolivar Rd,Wellsville,NY,Allegany,14895,42.1264235,-77.9700056,Leased/Tariffed Facilities or Services,Dedicated Internet Access (DIA),10.0MB,10.0MB,2,Month,Yes,2014-03-03T00:00:00.000,2016-06-30T00:00:00.000,2014-10-14T00:00:00.000,2014-03-05T00:00:00.000,143019523,"Time Warner Cable Information Services (New York), LLC",,0,14962.25,14962.25,14962.25,Yes,2016-12-31T23:59:59.000,Allegany,10.0MB,0,0,.1,99.99%,N/A,45ms,,,,
Healthcare Connect Fund,Individual,2013,13387321,1,Committed,15173,Sampson Regional Medical Center,Not-For-Profit Hospital,607 Beaman St,Clinton,NC,28328-2603,35.00845,-78.324032,15173,Sampson Regional Medical Center,Not-For-Profit Hospital,607 Beaman St,Clinton,NC,Sampson,28328-2603,35.00845,-78.324032,Leased/Tariffed Facilities or Services,ISDN,1.5,1.5,0,Month,No,2014-02-12T00:00:00.000,2014-06-30T00:00:00.000,2014-05-20T00:00:00.000,2014-02-19T00:00:00.000,143019614,CenturyLink Corporation (FKA Embarq),,2543.12,2543.12,2543.12,2543.12,No,2014-12-31T23:59:59.000,Sampson,0,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2014,14613881,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Internet,10.0MB,10.0MB,0,Month,No,2014-07-01T00:00:00.000,2015-06-30T00:00:00.000,2015-07-14T00:00:00.000,2015-05-15T00:00:00.000,143030626,"Time Warner Cable Information Services (Ohio), LLC",,5421,5421,5421,5421,No,2015-12-31T23:59:59.000,Fulton,10.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2013,13386291,1,Committed,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,37185,36.0757222,-87.7923663,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,Humphreys,37185,36.0757222,-87.7923663,Leased/Tariffed Facilities or Services,Digital Subscriber Line (DSL),6,.768,0,Month,No,2014-01-08T00:00:00.000,2015-04-26T00:00:00.000,2014-11-25T00:00:00.000,2014-02-16T00:00:00.000,143004824,"BellSouth Telecommunications, LLC",,863.04,863.04,863.04,863.05,No,2015-10-26T23:59:59.000,Humphreys,0,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2022,RHC20220004796,1,Processed,11094,Syringa General Hospital,Not-For-Profit Hospital,607 West Main,Grangeville,ID,83530,45.9265605,-116.1271556,11094,Syringa General Hospital,Not-For-Profit Hospital,607 West Main,Grangeville,ID,Idaho,83530,45.9265605,-116.1271556,Data,Dedicated Internet Access (DIA),20 Mbps,20 Mbps,1,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-12-01T00:00:00.000,2022-01-26T00:00:00.000,143032041,Greenfly Networks Inc,FY 2022 Filing Window 1,5881.2,5881.2,5881.2,5881.2,No,2023-10-28T00:00:00.000,Idaho,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13420001,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Internet,2,10,0,Month,No,2014-01-18T00:00:00.000,2014-06-30T00:00:00.000,2014-05-06T00:00:00.000,2014-04-14T00:00:00.000,143030626,"Time Warner Cable Information Services (Ohio), LLC",,694.01,630.57,630.57,630.57,No,2014-12-31T23:59:59.000,Fulton,10.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2024,RHC20240000908,1,Submitted,25898,Jackson County Hospital District - Jackson County Hospital,Not-For-Profit Hospital,1013 S. Wells Street,Edna,TX,77957,28.969106,-96.635781,25898,Jackson County Hospital District - Jackson County Hospital,Not-For-Profit Hospital,1013 S. Wells Street,Edna,TX,Jackson,77957,28.969106,-96.635781,Data,Internet Access,1 Gbps,1 Gbps,0,Monthly,No,,,,2023-12-18T00:00:00.000,143016446,"Cebridge Telecom TX, LP",FY 2024 Filing Window 1,12350,,,,No,,Jackson,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13401131,1,Committed,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,37185,36.0757222,-87.7923663,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,Humphreys,37185,36.0757222,-87.7923663,Leased/Tariffed Facilities or Services,Internet,1.5,.256,0,Month,No,2014-01-08T00:00:00.000,2014-06-30T00:00:00.000,2014-04-29T00:00:00.000,2014-03-25T00:00:00.000,143004824,"BellSouth Telecommunications, LLC",,389.81,389.81,389.81,389.8,No,2014-12-31T23:59:59.000,Humphreys,1.544MB,0,0,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220013811,39,Processed,93066,Commonspirit Health,Consortium Of The Above,11045 E Lansing Cir,Englewood,CO,80112,39.548535,-104.862382,66597,Fargo Cbo,Not Available,4816 Amber Valley Pkwy S,Fargo,ND,Cass,58104,46.8405342,-96.8679636,Data,MPLS,3.00 Mbps,3.00 Mbps,1,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-12-22T00:00:00.000,2022-06-01T00:00:00.000,143001157,"CenturyLink Qwest Communications Company, LLC",FY 2022 Filing Window 1,1596.11,1596.11,1596.11,,No,2024-02-25T00:00:00.000,,,,,,,,,,,1,
