,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
0,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-06-01,102.2183,
1,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-07-01,102.0932,
2,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-08-01,101.981,
3,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-09-01,101.9016,
4,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-10-01,101.8643,
5,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-11-01,101.8164,
6,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-12-01,101.6802,
7,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-01-01,101.4014,
8,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-02-01,101.0854,
9,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-03-01,100.8839,
10,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-04-01,100.9205,
11,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-05-01,101.0999,
12,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-06-01,101.3002,
13,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-07-01,101.4216,
14,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-08-01,101.4145,
15,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-09-01,101.1907,
16,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-10-01,100.6629,
17,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-11-01,100.0016,
18,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-12-01,99.41203,
19,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-01-01,99.04575,
20,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-02-01,98.83975,
21,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-03-01,98.71972,
22,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-04-01,98.64288,
23,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-05-01,98.55503,
24,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-06-01,98.40205,
25,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-07-01,98.15257,
26,ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-08-01,97.88571,
